关键词,搜索量,在售商品数,近7天增长,近4周增长,转化率,季节基线,需求增速,供给增速,预估售价,成本,风险分,价格带,平台来源,竞争强度,市场体量,模拟类型,类目
家用学习台灯,89896,125759,22.4,18.3,3.1,100684,2.9,42.2,520,380,82.9,500-999,拼多多,78.5,3056,红海高竞争,厨房用品
静音筋膜枪,14913,13704,40,52.9,4.3,15510,33.9,4.4,1150,828,52.7,1000+,天猫,46.8,1014,成长机会,户外运动
家用旅行压缩袋,48413,150948,25.4,30,2.6,51802,3.5,27.7,746,574,72.8,500-999,淘宝,91.2,1985,红海高竞争,户外运动
防水除湿机,6852,59478,17,0.3,3.1,6921,5.3,23.9,1047,722,59.3,1000+,抖音电商,80.4,295,普通观察,宠物用品
家用筋膜枪,62681,2750,78.1,70.4,4.6,55786,63.4,27.9,661,238,18.5,500-999,淘宝,35.1,1630,高机会,厨房用品
户外宠物烘干箱爆款,31246,247612,1.2,20.3,1.9,25622,2.2,39.3,303,221,91.9,200-499,天猫,80.8,875,红海高竞争,户外运动
户外折叠椅,71598,11405,64.2,62.7,5.6,46539,63.8,24.3,534,230,41.7,500-999,拼多多,34.7,5513,高机会,个护健康
可折叠露营灯套装,18732,5092,40.5,86.6,5.1,11801,29.5,11.2,103,34,35.3,100-199,天猫,35.8,768,高机会,母婴儿童
新款空气炸锅纸,43785,141667,14.7,10.8,2.3,41158,13.2,54.6,634,526,71.8,500-999,天猫,92.8,2364,红海高竞争,个护健康
防水保温杯,48259,162492,19.9,8,3.6,54533,14.6,41.2,497,388,77.1,200-499,拼多多,92.9,965,红海高竞争,宠物用品
户外防晒衣,23514,41408,1.9,9.2,4.6,29628,6,16.6,1104,585,52.9,1000+,拼多多,48.7,1340,普通观察,个护健康
静音露营灯,43805,18035,40.2,27.6,4.3,49500,37.7,28.8,866,580,45.4,500-999,京东,59.1,1927,成长机会,家居收纳
便携防晒衣爆款,40567,43669,39.7,53.5,3.9,43001,23.2,6.8,1209,592,39.4,1000+,淘宝,55,1217,成长机会,母婴儿童
大容量猫砂盆,24073,34815,29.9,50.2,5.2,20703,11.3,9,455,300,50.8,200-499,天猫,48.2,891,成长机会,个护健康
可折叠空气炸锅纸,24700,82296,-6.8,2.1,3.6,31369,11.7,20.9,675,365,69.3,500-999,拼多多,73.9,1828,普通观察,户外运动
家用旅行压缩袋,22101,15187,67.2,99.6,8.4,18565,52.7,22.4,1208,532,41.4,1000+,拼多多,33.2,1569,高机会,小家电
轻量旅行压缩袋,38554,203242,14.9,28,1.8,40482,16.5,60.7,1086,923,71.1,1000+,京东,78.8,848,红海高竞争,母婴儿童
户外鞋盒,1241,1391,25,3.1,3.9,732,3.8,45.5,223,116,50.5,200-499,京东,69,71,低置信小样本,个护健康
收纳型沥水架套装,21682,24155,13.8,7.2,5.5,16695,19.2,27.9,521,370,39.3,500-999,拼多多,55.8,1062,成长机会,厨房用品
防水空气炸锅纸爆款,10089,65645,4,4.2,1.9,10694,11,8.9,112,75,63.8,100-199,抖音电商,74.2,666,普通观察,宠物用品
高颜值空气炸锅纸,73331,184869,1.3,-1.3,2.2,85064,11,53.8,349,237,63.8,200-499,天猫,85.4,5353,红海高竞争,母婴儿童
收纳型沥水架,19763,27431,-2.7,-3.8,3.2,23123,-1.4,23.5,1079,842,38.8,1000+,拼多多,79.8,1403,普通观察,户外运动
智能婴儿背带,44608,174873,1.4,6.1,4.1,54868,3.2,34,222,189,79.9,200-499,天猫,76.1,1561,红海高竞争,家居收纳
高颜值沥水架,15527,49095,44.2,47,5.6,17546,36.3,27.4,1104,618,28.4,1000+,天猫,41.1,885,成长机会,户外运动
静音宠物烘干箱,4074,26401,11.3,1.1,4.4,5500,16.9,33.3,828,654,51.4,500-999,京东,80.5,228,普通观察,家居收纳
大容量鞋盒,35091,189756,0.3,30.5,2.6,42811,4,78.6,429,335,65.3,200-499,京东,76.5,1825,红海高竞争,母婴儿童
静音露营灯爆款,13381,23822,25.2,6.5,3.9,14585,28.5,16.2,1229,811,29.3,1000+,淘宝,36.4,923,成长机会,小家电
大容量空气炸锅纸,17919,71623,2.5,25,4.9,18277,7.2,33.1,530,371,62.2,500-999,拼多多,72.2,520,普通观察,数码车品
收纳型沥水架,78865,6812,46,92.3,7.8,70190,20.2,25.4,820,271,34.4,500-999,拼多多,22,3155,高机会,户外运动
智能婴儿背带套装,29534,27650,12.3,19.9,5,29534,13.7,10.1,767,445,54.7,500-999,抖音电商,49,1477,成长机会,厨房用品
轻量车载冰箱,25482,28233,21.7,17.7,2.7,33891,-1.7,8.6,997,758,69.1,500-999,京东,63.6,1682,普通观察,小家电
便携护腰坐垫,50225,239299,22,0.7,1.6,54243,3.6,71.3,39,31,83.5,20-49,京东,93.2,1507,红海高竞争,小家电
大容量防晒衣,40596,220561,24.1,34.4,3,39378,21.9,76.1,689,565,83.9,500-999,抖音电商,86.7,1380,红海高竞争,小家电
便携猫砂盆爆款,23972,44372,12.2,2.2,4.1,29006,0.1,23,918,487,47.2,500-999,京东,75.1,1223,普通观察,家居收纳
家用护腰坐垫,36088,90153,14.1,32.1,1.8,31036,7.4,35.7,529,455,69.9,500-999,淘宝,71.9,1407,红海高竞争,厨房用品
便携沥水架,75352,15973,68,88.4,6.7,56514,63.7,3.5,96,38,21.7,50-99,淘宝,33.9,3994,高机会,数码车品
小户型学习台灯,63916,14921,88.5,26.9,4.6,47298,19.3,10.8,290,110,22.7,200-499,京东,40.3,3707,高机会,厨房用品
可折叠车载冰箱,46432,51105,38.2,8.7,4.4,41324,25.4,32.8,77,54,37.4,50-99,天猫,46.8,1068,成长机会,母婴儿童
新款旅行压缩袋,13011,68821,-6.7,-2.9,2.7,14442,-3.3,1.4,1200,768,53.2,1000+,淘宝,81.7,755,普通观察,个护健康
轻量宠物烘干箱,29746,107888,10.6,10.2,3.5,34803,5.1,42,1198,1042,84.1,1000+,淘宝,94.1,952,红海高竞争,户外运动
收纳型折叠椅爆款,37768,23942,41.9,54.3,4.9,37013,37.4,13.6,914,548,35.4,500-999,天猫,43.5,2908,成长机会,户外运动
升级款婴儿背带,64894,107430,15.3,27.7,3.8,67490,10.9,25.5,643,534,77.6,500-999,淘宝,90.7,4672,红海高竞争,户外运动
高颜值保温杯,70469,2359,35.6,41.9,7.5,64831,36.1,19.9,1032,330,32.4,1000+,淘宝,48,4158,高机会,个护健康
静音护腰坐垫,18456,31827,1,1.5,4.1,15688,14.7,28,82,56,38.2,50-99,天猫,45.4,406,普通观察,厨房用品
高颜值猫砂盆,24227,60046,-7.9,-3.9,2.5,30041,7,10.8,331,232,60.2,200-499,拼多多,74.5,1938,普通观察,户外运动
防水婴儿背带,20074,34745,20.5,-5.9,4.5,23888,3.5,27,979,685,54.5,500-999,抖音电商,52.3,502,普通观察,小家电
户外露营灯,30808,11356,44.8,18.6,3.4,26495,8.1,19.6,570,393,28.8,500-999,抖音电商,41.1,1571,成长机会,母婴儿童
静音除湿机爆款,54299,16463,87.3,100.8,5.6,32036,57.6,29.6,1260,655,37.2,1000+,天猫,40.7,1738,高机会,个护健康
静音车载冰箱,26782,28081,39.4,48.8,4.7,23300,35.2,22.6,1243,646,36.2,1000+,拼多多,66.3,2009,成长机会,母婴儿童
大容量折叠椅,57807,234228,11.2,23.2,2.1,67634,11.2,62,957,785,87.5,500-999,抖音电商,90.8,4162,红海高竞争,厨房用品
升级款自动喂食器,65463,4788,33.4,77.8,6.1,43860,29.1,29.6,580,191,21.7,500-999,抖音电商,30.3,3404,高机会,户外运动
可折叠收纳推车套装,73582,110901,28,3.8,2.5,83148,13.4,55.5,688,537,85.2,500-999,拼多多,77.8,2207,红海高竞争,母婴儿童
小户型自动喂食器,49470,239600,25.8,30.4,1.8,42050,2.5,55.4,140,118,80.9,100-199,京东,84.9,3216,红海高竞争,宠物用品
静音自动喂食器,4676,36075,-10.7,13.8,2.3,5705,7.2,13.8,1216,863,38.5,1000+,天猫,50.7,238,普通观察,宠物用品
便携除湿机爆款,67304,118630,1.6,25.1,4.1,77400,19.6,57.5,466,359,83.2,200-499,淘宝,94.8,3971,红海高竞争,母婴儿童
轻量宠物烘干箱,52257,211875,2.5,29.5,3.5,63754,13.6,26.3,1269,1104,76.4,1000+,抖音电商,78.4,1045,红海高竞争,宠物用品
升级款骑行眼镜,51013,9470,29.3,49.2,4.5,58155,32.1,13,990,594,52.2,500-999,拼多多,49.9,2347,成长机会,数码车品
新款恒温水壶,2521,3578,113.5,26,5.8,2824,25.9,37.3,1251,688,57.1,1000+,抖音电商,54.3,113,低置信小样本,户外运动
高颜值沥水架,8258,77780,18.5,5.3,5,11066,6.8,26.4,1209,786,55.1,1000+,天猫,61.2,504,普通观察,母婴儿童
新款防晒衣,1197,3296,48.1,24.4,6.4,1077,30.3,17.5,490,377,42.3,200-499,天猫,21.6,71,低置信小样本,户外运动
免安装空气炸锅纸,20426,28790,-4.8,14.4,4.1,26350,10.3,14.4,438,289,66.5,200-499,淘宝,73,980,普通观察,母婴儿童
智能防晒衣爆款,14706,58011,7.1,3.3,3.3,13382,7.5,21.6,100,72,52.1,100-199,淘宝,45.1,397,普通观察,母婴儿童
静音车载冰箱套装,68431,227026,4.6,24.3,3,63641,13.8,65.9,133,104,78.4,100-199,拼多多,92.8,4722,红海高竞争,数码车品
免安装沥水架,17406,35652,42.6,47.3,5,19843,30.9,32.3,1003,712,30.4,1000+,天猫,60,661,成长机会,家居收纳
小户型鞋盒,10353,49895,2.6,-1.5,4.3,11492,13.6,8,393,236,55.1,200-499,天猫,60.1,248,普通观察,数码车品
收纳型保温杯,53805,14423,65.7,55.5,7.1,33359,23.5,19.1,938,450,41.6,500-999,抖音电商,49,2852,高机会,小家电
智能恒温水壶,12314,22168,8,13.5,4.3,10959,11.5,6.1,347,201,44.7,200-499,京东,48.5,973,成长机会,户外运动
高颜值学习台灯,25170,51914,30.5,19,6.2,26932,35.7,31.3,962,693,56.6,500-999,抖音电商,49,1762,成长机会,数码车品
可折叠恒温水壶爆款,42768,21671,43.5,24,5.7,39774,10.5,12.6,1002,551,28,1000+,京东,41,3336,成长机会,数码车品
户外空气炸锅纸,353,3456,20.8,-2.8,3.6,194,45.8,27.7,496,258,75.2,200-499,抖音电商,72.1,9,低置信小样本,厨房用品
家用车载冰箱,28933,249639,6.5,30.5,3.8,29222,9.8,24.2,594,481,62,500-999,抖音电商,83.9,1476,红海高竞争,小家电
免安装防晒衣,29011,240226,23.6,32.8,2.3,28141,22.4,75.2,952,724,76.5,500-999,抖音电商,77.4,1044,红海高竞争,个护健康
户外旅行压缩袋,22627,22529,12.6,7.4,3.9,21496,14.6,31.1,695,445,70,500-999,淘宝,70,1403,普通观察,个护健康
高颜值猫砂盆套装,9709,46294,-1.3,-1.1,4.1,10777,-3.4,25.2,164,92,73.3,100-199,淘宝,55.7,214,普通观察,个护健康
收纳型旅行压缩袋,71472,2820,79.8,54.6,5.3,44313,37.5,23.1,1045,397,26.6,1000+,淘宝,25.7,3788,高机会,家居收纳
轻量恒温水壶爆款,18284,51374,27.4,33.9,6,15724,13.8,9,839,503,44.9,500-999,淘宝,37.9,713,成长机会,母婴儿童
可折叠恒温水壶,30306,1879,86.1,30.8,6.7,27882,53.4,23.1,748,344,32.6,500-999,淘宝,19.8,1424,高机会,数码车品
户外收纳推车,12448,36902,-2.9,12.1,2.4,12448,9.1,7.6,648,376,62.2,500-999,天猫,52.1,759,普通观察,母婴儿童
静音防晒衣,20060,12180,23.8,46.8,4.2,17853,30.5,17.6,920,662,57.7,500-999,京东,62.7,1525,成长机会,小家电
大容量保温杯,10611,55749,11.7,22,3.9,9444,0.9,11.9,500,390,54.1,500-999,拼多多,63.1,255,普通观察,家居收纳
小户型车载冰箱,70538,137819,6.2,27.9,3.2,67716,23.3,65.1,410,303,71.1,200-499,天猫,86.5,3739,红海高竞争,宠物用品
大容量车载冰箱,55408,126125,22.8,18.3,4.2,59841,19.2,51.9,528,391,86.7,500-999,淘宝,91.9,4211,红海高竞争,母婴儿童
防水露营灯爆款,19155,30818,-7.8,-6.1,2.6,20304,17.3,30.1,634,488,66.2,500-999,天猫,75.9,1188,普通观察,数码车品
智能折叠椅,20132,60477,-1.2,15.1,3,25366,1.7,19.2,645,471,44.2,500-999,天猫,74.6,1027,普通观察,母婴儿童
静音收纳推车套装,43721,51244,17.6,44,5.3,48530,21.7,8.4,350,214,56.9,200-499,京东,43.7,2099,成长机会,数码车品
收纳型护腰坐垫,43215,50291,44.1,45.7,3.5,41054,13.3,20.3,1240,645,59,1000+,抖音电商,42.9,2506,成长机会,厨房用品
免安装空气炸锅纸,22624,2027,38.3,63.7,8.5,13122,22.2,12.6,847,330,14.6,500-999,淘宝,29.5,543,高机会,户外运动
大容量除湿机,41328,39173,16.2,53.4,5.1,33889,25,5.3,1171,609,49.2,1000+,淘宝,36.4,1942,成长机会,数码车品
可折叠筋膜枪,10909,34696,-5.7,-0.4,4.8,10909,9.9,12.9,484,286,39.7,200-499,抖音电商,64,425,普通观察,小家电
家用防晒衣爆款,35871,44776,19.1,45.6,4.2,29056,28.7,34.4,710,355,45.7,500-999,拼多多,38.7,1040,成长机会,宠物用品
防水猫砂盆,36575,25373,22,35.4,3.9,28529,17.8,35.3,958,651,57.5,500-999,天猫,50.5,951,成长机会,宠物用品
可折叠骑行眼镜,41053,35087,38.7,27.1,5.2,40232,15,17.5,866,476,50.3,500-999,抖音电商,45.6,1232,成长机会,母婴儿童
收纳型折叠椅,17678,41934,18.4,8.8,4.3,18208,0.8,20.5,1046,795,48.3,1000+,抖音电商,70.9,407,普通观察,个护健康
防水筋膜枪,23494,46782,19.1,6.2,3.8,20910,29.6,32.4,1034,672,54.5,1000+,淘宝,41.8,1692,成长机会,小家电
户外自动喂食器,45214,140607,15.1,34.9,2.5,49735,13,71.9,855,607,62.5,500-999,抖音电商,83.7,2984,红海高竞争,家居收纳
防水保温杯套装,14844,76393,0,9,4.3,13656,-0.6,9.3,1002,802,49.5,1000+,京东,63.8,609,普通观察,宠物用品
小户型宠物烘干箱爆款,43066,168186,27.1,6.8,3.2,36606,8,30.1,566,475,63.1,500-999,拼多多,88,1206,红海高竞争,个护健康
小户型防晒衣,15102,29848,10.6,39.8,3.3,12837,12.9,26.1,1001,541,31.3,1000+,抖音电商,63.3,1163,成长机会,小家电
静音恒温水壶,14578,67744,8.6,-8.2,1.9,19389,-3.1,11.3,836,468,56.9,500-999,天猫,80.8,977,普通观察,个护健康
户外折叠椅,32003,40979,29.2,34.1,5.1,27843,39.9,33.4,122,59,51.3,100-199,拼多多,42.3,2496,成长机会,宠物用品
免安装车载冰箱,89417,256093,5.4,28.2,1.6,87629,21.6,55.7,913,666,76.1,500-999,拼多多,84.5,5902,红海高竞争,数码车品
大容量恒温水壶,72187,182520,16.5,1.1,2.2,74353,12.9,39,122,101,76.2,100-199,抖音电商,93.4,5631,红海高竞争,母婴儿童
户外鞋盒,34542,30479,9.8,46.1,4.9,39032,38.4,29.1,980,608,34.1,500-999,天猫,40.7,2349,成长机会,数码车品
升级款宠物烘干箱爆款,28778,51499,15.5,12.5,5.6,24749,15.1,23,331,156,37.1,200-499,抖音电商,40.2,1122,成长机会,厨房用品
智能折叠椅,56170,2504,59.9,82.1,6,41004,49.4,3.9,354,198,36.8,200-499,淘宝,18.3,3595,高机会,母婴儿童
新款空气炸锅纸,16963,27780,16.9,15.6,2.6,20525,-3.7,21.7,204,129,65.8,200-499,京东,77.3,1001,普通观察,数码车品
小户型婴儿背带套装,95626,138498,21.8,7.1,3.2,100407,2.9,42.3,1224,894,78.8,1000+,天猫,72.3,3443,红海高竞争,宠物用品
可折叠自动喂食器,29285,9332,36.8,53.5,3.4,28699,8.4,33.1,965,608,61.9,500-999,抖音电商,57.6,703,成长机会,个护健康
收纳型恒温水壶,29233,214131,25.2,27.2,2.7,25140,19.9,78.8,1293,983,82.7,1000+,淘宝,87.1,1900,红海高竞争,小家电
